trial_id,object_name,tool_family,task_name,mode,seed,resolved_baseline_object,pivot_x,pivot_y,pivot_z,target_x,target_y,target_conditioned,target_conditioning_schema,compile_success,validation_success,num_waypoints,num_clamped_waypoints,mean_translation_error_m,max_translation_error_m,mean_rotation_error_deg,max_rotation_error_deg,reference_path_length_m,candidate_path_length_m,path_length_ratio,sample_count,semantic_contact_point_xy_error_m,screwdriver_max_primary_axis_tilt_deg,screwdriver_twist_angle_span_deg,error,replay_artifact_path
0024_mallet_hammer_llm_lie_x+0p000_y+0p000,mallet_hammer,hammer,swing_down,llm_lie,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,0.0,0.0,False,,True,True,9,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.925231146709438e-17,,,,geometry/replay/trials/0024_mallet_hammer_llm_lie_x+0p000_y+0p000.json
0025_mallet_hammer_llm_lie_x+0p350_y+0p000,mallet_hammer,hammer,swing_down,llm_lie,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,0.19749999999999998,0.0,False,,True,True,9,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3857098758256405e-09,,,,geometry/replay/trials/0025_mallet_hammer_llm_lie_x+0p350_y+0p000.json
0026_mallet_hammer_llm_lie_x-0p350_y+0p200,mallet_hammer,hammer,swing_down,llm_lie,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,-0.19749999999999998,0.16,False,,True,True,19,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.963850650060006e-09,,,,geometry/replay/trials/0026_mallet_hammer_llm_lie_x-0p350_y+0p200.json
0027_mallet_hammer_llm_lie_x+0p000_y+0p200,mallet_hammer,hammer,swing_down,llm_lie,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,0.0,0.16,False,,True,True,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,,,,geometry/replay/trials/0027_mallet_hammer_llm_lie_x+0p000_y+0p200.json
0028_mallet_hammer_llm_lie_x+0p350_y+0p200,mallet_hammer,hammer,swing_down,llm_lie,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,0.19749999999999998,0.16,False,,True,True,9,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,,,,geometry/replay/trials/0028_mallet_hammer_llm_lie_x+0p350_y+0p200.json
0029_mallet_hammer_llm_only_x-0p350_y-0p200,mallet_hammer,hammer,swing_down,llm_only,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,-0.35,-0.2,True,llm_only_target_conditioned_v1,True,True,3,0,0.33755782004549906,0.4684771155796989,71.98580375397485,102.85215039925632,0.6542138327682845,0.5286478965883575,0.808065910730443,37.0,0.10955061278125545,,,,geometry/replay/trials/0029_mallet_hammer_llm_only_x-0p350_y-0p200.json
0030_mallet_hammer_llm_only_x+0p000_y-0p200,mallet_hammer,hammer,swing_down,llm_only,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,0.0,-0.2,True,llm_only_target_conditioned_v1,True,True,3,0,0.2634124938368793,0.32348897020014217,71.98580375397485,102.85215039925632,0.6542138327682845,0.28594594622088754,0.43708330808432555,37.0,0.10955061278125547,,,,geometry/replay/trials/0030_mallet_hammer_llm_only_x+0p000_y-0p200.json
0031_mallet_hammer_llm_only_x+0p350_y-0p200,mallet_hammer,hammer,swing_down,llm_only,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,0.35,-0.2,True,llm_only_target_conditioned_v1,True,True,4,0,0.33421105574679905,0.48786282268625636,71.98580375397485,102.85215039925632,0.6542138327682845,0.35325491983339985,0.5399685884638257,37.0,0.10955061278125545,,,,geometry/replay/trials/0031_mallet_hammer_llm_only_x+0p350_y-0p200.json
0032_mallet_hammer_llm_only_x-0p350_y+0p000,mallet_hammer,hammer,swing_down,llm_only,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,-0.35,0.0,True,llm_only_target_conditioned_v1,True,True,3,0,0.28337072749355113,0.37711545918580647,71.98580375397485,102.85215039925632,0.6542138327682845,0.46543359601146816,0.711439551869457,37.0,0.10955061278125545,,,,geometry/replay/trials/0032_mallet_hammer_llm_only_x-0p350_y+0p000.json
0033_mallet_hammer_llm_only_x+0p000_y+0p000,mallet_hammer,hammer,swing_down,llm_only,0,mallet_hammer,0.10964212432374565,0.05731781420714077,0.5798402402360319,0.0,0.0,True,llm_only_target_conditioned_v1,True,True,3,0,0.20638036710385896,0.28887459790773995,71.98580375397485,102.85215039925632,0.6542138327682845,0.13161960414328935,0.20118743681457374,37.0,0.10955061278125547,,,,geometry/replay/trials/0033_mallet_hammer_llm_only_x+0p000_y+0p000.json
