trial_id,object_name,task_name,mode,seed,resolved_baseline_object,pivot_x,pivot_y,pivot_z,target_x,target_y,target_conditioned,target_conditioning_schema,compile_success,validation_success,num_waypoints,num_clamped_waypoints,mean_translation_error_m,max_translation_error_m,mean_rotation_error_deg,max_rotation_error_deg,reference_path_length_m,candidate_path_length_m,path_length_ratio,sample_count,error
0031_long_screwdriver_llm_lie_x+0p350_y+0p200,long_screwdriver,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.19749999999999998,0.16,False,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0032_long_screwdriver_llm_only_x-0p350_y-0p200,long_screwdriver,spin_vertical,llm_only,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,-0.35,-0.2,True,llm_only_target_conditioned_v1,True,True,8,0,0.29990751792281284,0.3921762919052358,104.0134688774981,178.67913800881175,0.768259752074074,0.37743585660983137,0.49128677584744773,101.0,
0033_long_screwdriver_llm_only_x+0p350_y-0p200,long_screwdriver,spin_vertical,llm_only,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.35,-0.2,True,llm_only_target_conditioned_v1,True,True,4,0,0.3126722368536548,0.4558668162494388,104.0134688774981,178.67913800881175,0.768259752074074,0.610339110941814,0.7944436882110237,101.0,
0034_long_screwdriver_llm_only_x-0p350_y+0p200,long_screwdriver,spin_vertical,llm_only,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,-0.35,0.2,True,llm_only_target_conditioned_v1,True,True,3,0,0.3275963462456693,0.4314114105596416,104.0134688774981,178.67913800881175,0.768259752074074,0.3095403514840635,0.4029110605474205,101.0,
0035_long_screwdriver_llm_only_x+0p350_y+0p200,long_screwdriver,spin_vertical,llm_only,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.35,0.2,True,llm_only_target_conditioned_v1,True,True,2,0,0.33948475205752987,0.5059804782855517,104.0134688774981,178.67913800881175,0.768259752074074,0.4573179981052429,0.5952648135876174,101.0,
0036_short_screwdriver_predefined,short_screwdriver,spin_vertical,predefined,0,short_screwdriver,,,,-0.08168831378190461,-0.043994911527795284,False,,True,True,76,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0037_short_screwdriver_llm_lie_x-0p350_y-0p200,short_screwdriver,spin_vertical,llm_lie,0,short_screwdriver,-0.08124288503508437,0.06992222301753948,0.5834889486522075,-0.19749999999999998,-0.16,False,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0038_short_screwdriver_llm_lie_x+0p350_y-0p200,short_screwdriver,spin_vertical,llm_lie,0,short_screwdriver,-0.08124288503508437,0.06992222301753948,0.5834889486522075,0.19749999999999998,-0.16,False,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0039_short_screwdriver_llm_lie_x-0p350_y+0p200,short_screwdriver,spin_vertical,llm_lie,0,short_screwdriver,-0.08124288503508437,0.06992222301753948,0.5834889486522075,-0.19749999999999998,0.16,False,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0040_short_screwdriver_llm_lie_x+0p350_y+0p200,short_screwdriver,spin_vertical,llm_lie,0,short_screwdriver,-0.08124288503508437,0.06992222301753948,0.5834889486522075,0.19749999999999998,0.16,False,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0041_short_screwdriver_llm_only_x-0p350_y-0p200,short_screwdriver,spin_vertical,llm_only,0,short_screwdriver,-0.08124288503508437,0.06992222301753948,0.5834889486522075,-0.35,-0.2,True,llm_only_target_conditioned_v1,True,True,4,0,0.2301316467163153,0.3423224081007311,102.89693056668908,178.5002668055584,0.5576316390668257,0.3883838762517302,0.6964882353190632,77.0,
0042_short_screwdriver_llm_only_x+0p350_y-0p200,short_screwdriver,spin_vertical,llm_only,0,short_screwdriver,-0.08124288503508437,0.06992222301753948,0.5834889486522075,0.35,-0.2,True,llm_only_target_conditioned_v1,True,True,2,0,0.28546894185574173,0.480820944625221,102.89693056668908,178.5002668055584,0.5576316390668257,0.5087518377088314,0.912343923957054,77.0,
0043_short_screwdriver_llm_only_x-0p350_y+0p200,short_screwdriver,spin_vertical,llm_only,0,short_screwdriver,-0.08124288503508437,0.06992222301753948,0.5834889486522075,-0.35,0.2,True,llm_only_target_conditioned_v1,True,True,3,0,0.29028211970909346,0.4067932323193316,102.89693056668908,178.5002668055584,0.5576316390668257,0.29858753882952915,0.5354565951982271,77.0,
0044_short_screwdriver_llm_only_x+0p350_y+0p200,short_screwdriver,spin_vertical,llm_only,0,short_screwdriver,-0.08124288503508437,0.06992222301753948,0.5834889486522075,0.35,0.2,True,llm_only_target_conditioned_v1,True,True,4,0,0.3692937874703057,0.5286632988615875,102.89693056668908,178.5002668055584,0.5576316390668257,0.4537797929662642,0.8137626367930747,77.0,
0045_cylinder_screwdriver_v3009_predefined,cylinder_screwdriver_v3009,spin_vertical,predefined,0,long_screwdriver,,,,-0.0593696929539107,-0.04574792165983691,False,,True,True,100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0046_cylinder_screwdriver_v3009_llm_lie_x-0p350_y-0p200,cylinder_screwdriver_v3009,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,-0.19749999999999998,-0.16,False,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0047_cylinder_screwdriver_v3009_llm_lie_x+0p350_y-0p200,cylinder_screwdriver_v3009,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.19749999999999998,-0.16,False,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0048_cylinder_screwdriver_v3009_llm_lie_x-0p350_y+0p200,cylinder_screwdriver_v3009,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,-0.19749999999999998,0.16,False,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0049_cylinder_screwdriver_v3009_llm_lie_x+0p350_y+0p200,cylinder_screwdriver_v3009,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.19749999999999998,0.16,False,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0050_cylinder_screwdriver_v3009_llm_only_x-0p350_y-0p200,cylinder_screwdriver_v3009,spin_vertical,llm_only,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,-0.35,-0.2,True,llm_only_target_conditioned_v1,True,True,5,0,0.2929380960429785,0.3921762919052358,104.0134688774981,178.67913800881175,0.768259752074074,0.37682692741243234,0.4904941673634615,101.0,
0051_cylinder_screwdriver_v3009_llm_only_x+0p350_y-0p200,cylinder_screwdriver_v3009,spin_vertical,llm_only,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.35,-0.2,True,llm_only_target_conditioned_v1,True,True,2,0,0.2937353501020059,0.4558668162494387,104.0134688774981,178.67913800881175,0.768259752074074,0.4972993618467521,0.6473062795547873,101.0,
0052_cylinder_screwdriver_v3009_llm_only_x-0p350_y+0p200,cylinder_screwdriver_v3009,spin_vertical,llm_only,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,-0.35,0.2,True,llm_only_target_conditioned_v1,True,True,1,0,0.31651041170594546,0.43141141055964155,104.0134688774981,178.67913800881175,0.768259752074074,0.3089297537367205,0.40211628020692425,101.0,
0053_cylinder_screwdriver_v3009_llm_only_x+0p350_y+0p200,cylinder_screwdriver_v3009,spin_vertical,llm_only,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.35,0.2,True,llm_only_target_conditioned_v1,True,True,2,0,0.3394847520574202,0.5059804782855517,104.0134688774981,178.67913800881175,0.768259752074074,0.45731799810524254,0.595264813587617,101.0,
