trial_id,object_name,task_name,mode,seed,resolved_baseline_object,pivot_x,pivot_y,pivot_z,target_x,target_y,target_conditioned,target_conditioning_schema,compile_success,validation_success,num_waypoints,num_clamped_waypoints,mean_translation_error_m,max_translation_error_m,mean_rotation_error_deg,max_rotation_error_deg,reference_path_length_m,candidate_path_length_m,path_length_ratio,sample_count,error,replay_artifact_path
0025_cuboid_hammer_v014_llm_only_x-0p350_y+0p200,cuboid_hammer_v014,swing_down,llm_only,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,-0.35,0.2,True,llm_only_target_conditioned_v1,True,True,3,0,0.22782706794394514,0.3494104115217118,74.56666725376134,108.91685030780609,1.0647205635790191,0.4570387010983185,0.4292569494121534,38.0,,geometry/replay/trials/0025_cuboid_hammer_v014_llm_only_x-0p350_y+0p200.json
0026_cuboid_hammer_v014_llm_only_x+0p350_y+0p200,cuboid_hammer_v014,swing_down,llm_only,0,claw_hammer,0.09076502773615436,0.08070982635558854,0.5743193171844398,0.35,0.2,True,llm_only_target_conditioned_v1,True,True,3,0,0.3215311116706419,0.45880997566464454,74.56666725376134,108.91685030780609,1.0647205635790191,0.2865902013783933,0.2691694057406301,38.0,,geometry/replay/trials/0026_cuboid_hammer_v014_llm_only_x+0p350_y+0p200.json
0027_long_screwdriver_predefined,long_screwdriver,spin_vertical,predefined,0,long_screwdriver,,,,-0.0593696929539107,-0.04574792165983691,False,,True,True,100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,geometry/replay/trials/0027_long_screwdriver_predefined.json
0028_long_screwdriver_llm_lie_x-0p350_y-0p200,long_screwdriver,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,-0.19749999999999998,-0.16,False,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,geometry/replay/trials/0028_long_screwdriver_llm_lie_x-0p350_y-0p200.json
0029_long_screwdriver_llm_lie_x+0p350_y-0p200,long_screwdriver,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.19749999999999998,-0.16,False,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,geometry/replay/trials/0029_long_screwdriver_llm_lie_x+0p350_y-0p200.json
0030_long_screwdriver_llm_lie_x-0p350_y+0p200,long_screwdriver,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,-0.19749999999999998,0.16,False,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,geometry/replay/trials/0030_long_screwdriver_llm_lie_x-0p350_y+0p200.json
0031_long_screwdriver_llm_lie_x+0p350_y+0p200,long_screwdriver,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.19749999999999998,0.16,False,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,geometry/replay/trials/0031_long_screwdriver_llm_lie_x+0p350_y+0p200.json
0032_long_screwdriver_llm_only_x-0p350_y-0p200,long_screwdriver,spin_vertical,llm_only,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,-0.35,-0.2,True,llm_only_target_conditioned_v1,True,True,6,0,0.2646002204113789,0.3713678969867798,104.0134688774981,178.67913800881175,0.768259752074074,0.3660336219258268,0.4764451358250179,101.0,,geometry/replay/trials/0032_long_screwdriver_llm_only_x-0p350_y-0p200.json
0033_long_screwdriver_llm_only_x+0p350_y-0p200,long_screwdriver,spin_vertical,llm_only,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.35,-0.2,True,llm_only_target_conditioned_v1,True,True,4,0,0.30432823381602053,0.45586681624943876,104.0134688774981,178.67913800881175,0.768259752074074,0.49855400239453235,0.6489393737581385,101.0,,geometry/replay/trials/0033_long_screwdriver_llm_only_x+0p350_y-0p200.json
0034_long_screwdriver_llm_only_x-0p350_y+0p200,long_screwdriver,spin_vertical,llm_only,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,-0.35,0.2,True,llm_only_target_conditioned_v1,True,True,3,0,0.32844263728002127,0.43141141055964155,104.0134688774981,178.67913800881175,0.768259752074074,0.32818571921663287,0.42718067467497617,101.0,,geometry/replay/trials/0034_long_screwdriver_llm_only_x-0p350_y+0p200.json
0035_long_screwdriver_llm_only_x+0p350_y+0p200,long_screwdriver,spin_vertical,llm_only,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.35,0.2,True,llm_only_target_conditioned_v1,True,True,2,0,0.339484752057501,0.5059804782855516,104.0134688774981,178.67913800881175,0.768259752074074,0.4573179981052424,0.5952648135876167,101.0,,geometry/replay/trials/0035_long_screwdriver_llm_only_x+0p350_y+0p200.json
0036_short_screwdriver_predefined,short_screwdriver,spin_vertical,predefined,0,short_screwdriver,,,,-0.08168831378190461,-0.043994911527795284,False,,True,True,76,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,geometry/replay/trials/0036_short_screwdriver_predefined.json
0037_short_screwdriver_llm_lie_x-0p350_y-0p200,short_screwdriver,spin_vertical,llm_lie,0,short_screwdriver,-0.08124288503508437,0.06992222301753948,0.5834889486522075,-0.19749999999999998,-0.16,False,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,geometry/replay/trials/0037_short_screwdriver_llm_lie_x-0p350_y-0p200.json
0038_short_screwdriver_llm_lie_x+0p350_y-0p200,short_screwdriver,spin_vertical,llm_lie,0,short_screwdriver,-0.08124288503508437,0.06992222301753948,0.5834889486522075,0.19749999999999998,-0.16,False,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,geometry/replay/trials/0038_short_screwdriver_llm_lie_x+0p350_y-0p200.json
0039_short_screwdriver_llm_lie_x-0p350_y+0p200,short_screwdriver,spin_vertical,llm_lie,0,short_screwdriver,-0.08124288503508437,0.06992222301753948,0.5834889486522075,-0.19749999999999998,0.16,False,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,geometry/replay/trials/0039_short_screwdriver_llm_lie_x-0p350_y+0p200.json
0040_short_screwdriver_llm_lie_x+0p350_y+0p200,short_screwdriver,spin_vertical,llm_lie,0,short_screwdriver,-0.08124288503508437,0.06992222301753948,0.5834889486522075,0.19749999999999998,0.16,False,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,geometry/replay/trials/0040_short_screwdriver_llm_lie_x+0p350_y+0p200.json
0041_short_screwdriver_llm_only_x-0p350_y-0p200,short_screwdriver,spin_vertical,llm_only,0,short_screwdriver,-0.08124288503508437,0.06992222301753948,0.5834889486522075,-0.35,-0.2,True,llm_only_target_conditioned_v1,True,True,2,0,0.22694119696336293,0.3423224081007311,102.89693056668908,178.5002668055584,0.5576316390668257,0.38090559905892074,0.683077451803759,77.0,,geometry/replay/trials/0041_short_screwdriver_llm_only_x-0p350_y-0p200.json
0042_short_screwdriver_llm_only_x+0p350_y-0p200,short_screwdriver,spin_vertical,llm_only,0,short_screwdriver,-0.08124288503508437,0.06992222301753948,0.5834889486522075,0.35,-0.2,True,llm_only_target_conditioned_v1,True,True,2,0,0.2854689418555961,0.48082094462522107,102.89693056668908,178.5002668055584,0.5576316390668257,0.5087518377088316,0.9123439239570543,77.0,,geometry/replay/trials/0042_short_screwdriver_llm_only_x+0p350_y-0p200.json
0043_short_screwdriver_llm_only_x-0p350_y+0p200,short_screwdriver,spin_vertical,llm_only,0,short_screwdriver,-0.08124288503508437,0.06992222301753948,0.5834889486522075,-0.35,0.2,True,llm_only_target_conditioned_v1,True,True,3,0,0.3017399693894416,0.4067932323193316,102.89693056668908,178.5002668055584,0.5576316390668257,0.29899268966380255,0.5361831515947605,77.0,,geometry/replay/trials/0043_short_screwdriver_llm_only_x-0p350_y+0p200.json
0044_short_screwdriver_llm_only_x+0p350_y+0p200,short_screwdriver,spin_vertical,llm_only,0,short_screwdriver,-0.08124288503508437,0.06992222301753948,0.5834889486522075,0.35,0.2,True,llm_only_target_conditioned_v1,True,True,2,0,0.33491227448178934,0.528624997523429,102.89693056668908,178.5002668055584,0.5576316390668257,0.45041148821736376,0.807722260829944,77.0,,geometry/replay/trials/0044_short_screwdriver_llm_only_x+0p350_y+0p200.json
0045_cylinder_screwdriver_v3009_predefined,cylinder_screwdriver_v3009,spin_vertical,predefined,0,long_screwdriver,,,,-0.0593696929539107,-0.04574792165983691,False,,True,True,100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,geometry/replay/trials/0045_cylinder_screwdriver_v3009_predefined.json
0046_cylinder_screwdriver_v3009_llm_lie_x-0p350_y-0p200,cylinder_screwdriver_v3009,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,-0.19749999999999998,-0.16,False,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,geometry/replay/trials/0046_cylinder_screwdriver_v3009_llm_lie_x-0p350_y-0p200.json
0047_cylinder_screwdriver_v3009_llm_lie_x+0p350_y-0p200,cylinder_screwdriver_v3009,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.19749999999999998,-0.16,False,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,geometry/replay/trials/0047_cylinder_screwdriver_v3009_llm_lie_x+0p350_y-0p200.json
0048_cylinder_screwdriver_v3009_llm_lie_x-0p350_y+0p200,cylinder_screwdriver_v3009,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,-0.19749999999999998,0.16,False,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,geometry/replay/trials/0048_cylinder_screwdriver_v3009_llm_lie_x-0p350_y+0p200.json
0049_cylinder_screwdriver_v3009_llm_lie_x+0p350_y+0p200,cylinder_screwdriver_v3009,spin_vertical,llm_lie,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.19749999999999998,0.16,False,,True,True,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,geometry/replay/trials/0049_cylinder_screwdriver_v3009_llm_lie_x+0p350_y+0p200.json
0050_cylinder_screwdriver_v3009_llm_only_x-0p350_y-0p200,cylinder_screwdriver_v3009,spin_vertical,llm_only,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,-0.35,-0.2,True,llm_only_target_conditioned_v1,True,True,2,0,0.26660948961570563,0.3713678969867798,104.0134688774981,178.67913800881175,0.768259752074074,0.36551948873587126,0.47577591790937473,101.0,,geometry/replay/trials/0050_cylinder_screwdriver_v3009_llm_only_x-0p350_y-0p200.json
0051_cylinder_screwdriver_v3009_llm_only_x+0p350_y-0p200,cylinder_screwdriver_v3009,spin_vertical,llm_only,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.35,-0.2,True,llm_only_target_conditioned_v1,True,True,2,0,0.29360303968895957,0.4558668162494387,104.0134688774981,178.67913800881175,0.768259752074074,0.49851954695222417,0.6488945250696381,101.0,,geometry/replay/trials/0051_cylinder_screwdriver_v3009_llm_only_x+0p350_y-0p200.json
0052_cylinder_screwdriver_v3009_llm_only_x-0p350_y+0p200,cylinder_screwdriver_v3009,spin_vertical,llm_only,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,-0.35,0.2,True,llm_only_target_conditioned_v1,True,True,2,0,0.3165104117119176,0.43141141055964155,104.0134688774981,178.67913800881175,0.768259752074074,0.3089297537367201,0.4021162802069237,101.0,,geometry/replay/trials/0052_cylinder_screwdriver_v3009_llm_only_x-0p350_y+0p200.json
0053_cylinder_screwdriver_v3009_llm_only_x+0p350_y+0p200,cylinder_screwdriver_v3009,spin_vertical,llm_only,0,long_screwdriver,-0.08121582760511159,0.04770862987737767,0.5819587969799858,0.35,0.2,True,llm_only_target_conditioned_v1,True,True,2,0,0.33948475205742,0.5059804782855518,104.0134688774981,178.67913800881175,0.768259752074074,0.4573179981052427,0.5952648135876172,101.0,,geometry/replay/trials/0053_cylinder_screwdriver_v3009_llm_only_x+0p350_y+0p200.json
