trial_id,geometry_trial_id,object_name,task_name,mode,policy_variant,benchmark_cell,seed,execution_success,goal_completion_pct,peak_success_count,tracking_success_rate,translation_rmse_m,rotation_rmse_deg,mean_translation_error_m,mean_rotation_error_deg,final_translation_error_m,final_rotation_error_deg,dropped_count,dropped_first_step,object_z_low_count,object_z_low_first_step,geometry_goal_count,execution_goal_count,reference_goal_count,execution_goal_transform,execution_goal_cycle_style,failure_stage,failure_category,error,artifact_dir,trace_path,resolved_baseline_object,eval_returncode,produced_eval_json,replay_artifact_path
0053_cuboid_hammer_v014_llm_only_x+0p150_y-0p080_pretrained,0053_cuboid_hammer_v014_llm_only_x+0p150_y-0p080,cuboid_hammer_v014,swing_down,llm_only,pretrained,llm_only + pretrained,0,False,40.54054054054054,41,0.0,0.05654275336413784,19.949771010467995,0.05623581200535852,19.60190957997545,0.05696917894719115,20.109428097792073,0,,0,,37,37,37,identity,,execution_failure,experiment_timeout,,experiments/results/thesis_main_v3_v3/execution/artifacts/0053_cuboid_hammer_v014_llm_only_x+0p150_y-0p080_pretrained,experiments/results/thesis_main_v3_v3/execution/artifacts/0053_cuboid_hammer_v014_llm_only_x+0p150_y-0p080_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0053_cuboid_hammer_v014_llm_only_x+0p150_y-0p080_pretrained.json
0054_cuboid_hammer_v014_llm_only_x-0p150_y-0p030_pretrained,0054_cuboid_hammer_v014_llm_only_x-0p150_y-0p030,cuboid_hammer_v014,swing_down,llm_only,pretrained,llm_only + pretrained,0,True,100.0,100,0.028735632183908046,0.07537914866058194,40.93486925711336,0.06888697916861841,26.920234403803487,0.15294122566921384,120.63322038825213,69,174.0,0,,37,37,37,identity,,,,,experiments/results/thesis_main_v3_v3/execution/artifacts/0054_cuboid_hammer_v014_llm_only_x-0p150_y-0p030_pretrained,experiments/results/thesis_main_v3_v3/execution/artifacts/0054_cuboid_hammer_v014_llm_only_x-0p150_y-0p030_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0054_cuboid_hammer_v014_llm_only_x-0p150_y-0p030_pretrained.json
0055_cuboid_hammer_v014_llm_only_x+0p000_y-0p030_pretrained,0055_cuboid_hammer_v014_llm_only_x+0p000_y-0p030,cuboid_hammer_v014,swing_down,llm_only,pretrained,llm_only + pretrained,0,True,100.0,100,0.012032085561497326,0.07743029295998088,68.28822208736356,0.06463075888371714,41.72650269252257,0.067859783723061,30.435731818041113,73,748.0,0,,37,37,37,identity,,,,,experiments/results/thesis_main_v3_v3/execution/artifacts/0055_cuboid_hammer_v014_llm_only_x+0p000_y-0p030_pretrained,experiments/results/thesis_main_v3_v3/execution/artifacts/0055_cuboid_hammer_v014_llm_only_x+0p000_y-0p030_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0055_cuboid_hammer_v014_llm_only_x+0p000_y-0p030_pretrained.json
0056_cuboid_hammer_v014_llm_only_x+0p150_y-0p030_pretrained,0056_cuboid_hammer_v014_llm_only_x+0p150_y-0p030,cuboid_hammer_v014,swing_down,llm_only,pretrained,llm_only + pretrained,0,True,100.0,100,0.0012815036309269544,0.05093924699687095,18.176120063509273,0.04937340163412594,8.871563975297283,0.1793257182494424,107.20434578008822,0,,0,,37,37,37,identity,,,,,experiments/results/thesis_main_v3_v3/execution/artifacts/0056_cuboid_hammer_v014_llm_only_x+0p150_y-0p030_pretrained,experiments/results/thesis_main_v3_v3/execution/artifacts/0056_cuboid_hammer_v014_llm_only_x+0p150_y-0p030_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0056_cuboid_hammer_v014_llm_only_x+0p150_y-0p030_pretrained.json
0057_long_screwdriver_predefined_pretrained,0057_long_screwdriver_predefined,long_screwdriver,spin_vertical,predefined,pretrained,predefined + pretrained,0,False,58.0,58,0.0006583278472679394,0.09188850067541332,86.0262554343542,0.08397443831750792,77.85336803230192,0.17246149597372287,82.83449674109974,6244,4557.0,6224,4577.0,100,100,100,identity,,execution_failure,experiment_timeout,,experiments/results/thesis_main_v3_v3/execution/artifacts/0057_long_screwdriver_predefined_pretrained,experiments/results/thesis_main_v3_v3/execution/artifacts/0057_long_screwdriver_predefined_pretrained/trace.json,long_screwdriver,0,True,execution/replay/trials/0057_long_screwdriver_predefined_pretrained.json
0058_long_screwdriver_llm_lie_x-0p150_y-0p130_pretrained,0058_long_screwdriver_llm_lie_x-0p150_y-0p130,long_screwdriver,spin_vertical,llm_lie,pretrained,llm_lie + pretrained,0,False,34.0,34,0.0,0.09247644946824844,70.1422697362072,0.07750486076844675,53.546358568549365,0.2819374191034459,176.23918576304547,7809,2992.0,7797,3004.0,9,100,100,cycle_to_predefined_length,forward_repeat,execution_failure,experiment_timeout,,experiments/results/thesis_main_v3_v3/execution/artifacts/0058_long_screwdriver_llm_lie_x-0p150_y-0p130_pretrained,experiments/results/thesis_main_v3_v3/execution/artifacts/0058_long_screwdriver_llm_lie_x-0p150_y-0p130_pretrained/trace.json,long_screwdriver,0,True,execution/replay/trials/0058_long_screwdriver_llm_lie_x-0p150_y-0p130_pretrained.json
0059_long_screwdriver_llm_lie_x+0p000_y-0p130_pretrained,0059_long_screwdriver_llm_lie_x+0p000_y-0p130,long_screwdriver,spin_vertical,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.0,0.07636163751596915,56.94686260197865,0.06300590688601992,44.24092635665605,0.03065630526895888,19.65529181632093,0,,0,,9,100,100,cycle_to_predefined_length,forward_repeat,,,,experiments/results/thesis_main_v3_v3/execution/artifacts/0059_long_screwdriver_llm_lie_x+0p000_y-0p130_pretrained,experiments/results/thesis_main_v3_v3/execution/artifacts/0059_long_screwdriver_llm_lie_x+0p000_y-0p130_pretrained/trace.json,long_screwdriver,0,True,execution/replay/trials/0059_long_screwdriver_llm_lie_x+0p000_y-0p130_pretrained.json
0060_long_screwdriver_llm_lie_x+0p150_y-0p130_pretrained,0060_long_screwdriver_llm_lie_x+0p150_y-0p130,long_screwdriver,spin_vertical,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.0,0.08165340777294894,63.13854069003532,0.06891661964822153,46.87699857699052,0.03785716539060258,4.262133154968408,0,,0,,9,100,100,cycle_to_predefined_length,forward_repeat,,,,experiments/results/thesis_main_v3_v3/execution/artifacts/0060_long_screwdriver_llm_lie_x+0p150_y-0p130_pretrained,experiments/results/thesis_main_v3_v3/execution/artifacts/0060_long_screwdriver_llm_lie_x+0p150_y-0p130_pretrained/trace.json,long_screwdriver,0,True,execution/replay/trials/0060_long_screwdriver_llm_lie_x+0p150_y-0p130_pretrained.json
0061_long_screwdriver_llm_lie_x-0p150_y-0p080_pretrained,0061_long_screwdriver_llm_lie_x-0p150_y-0p080,long_screwdriver,spin_vertical,llm_lie,pretrained,llm_lie + pretrained,0,False,93.0,93,0.0,0.08396100609758321,58.44266443749341,0.07508408548173272,48.87546848161014,0.23039139991868346,147.3029874106491,3882,5983.0,3498,7303.0,9,100,100,cycle_to_predefined_length,forward_repeat,execution_failure,experiment_timeout,,experiments/results/thesis_main_v3_v3/execution/artifacts/0061_long_screwdriver_llm_lie_x-0p150_y-0p080_pretrained,experiments/results/thesis_main_v3_v3/execution/artifacts/0061_long_screwdriver_llm_lie_x-0p150_y-0p080_pretrained/trace.json,long_screwdriver,0,True,execution/replay/trials/0061_long_screwdriver_llm_lie_x-0p150_y-0p080_pretrained.json
0062_long_screwdriver_llm_lie_x+0p000_y-0p080_pretrained,0062_long_screwdriver_llm_lie_x+0p000_y-0p080,long_screwdriver,spin_vertical,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.0,0.07329210014678172,58.13478134312861,0.06411668518384757,47.05001072629709,0.03171765556535058,21.750522926868854,0,,0,,9,100,100,cycle_to_predefined_length,forward_repeat,,,,experiments/results/thesis_main_v3_v3/execution/artifacts/0062_long_screwdriver_llm_lie_x+0p000_y-0p080_pretrained,experiments/results/thesis_main_v3_v3/execution/artifacts/0062_long_screwdriver_llm_lie_x+0p000_y-0p080_pretrained/trace.json,long_screwdriver,0,True,execution/replay/trials/0062_long_screwdriver_llm_lie_x+0p000_y-0p080_pretrained.json
