trial_id,geometry_trial_id,object_name,task_name,mode,policy_variant,benchmark_cell,seed,execution_success,goal_completion_pct,peak_success_count,tracking_success_rate,translation_rmse_m,rotation_rmse_deg,mean_translation_error_m,mean_rotation_error_deg,final_translation_error_m,final_rotation_error_deg,failure_stage,failure_category,error,artifact_dir,trace_path,resolved_baseline_object,eval_returncode,produced_eval_json,replay_artifact_path
0010_mallet_hammer_llm_lie_x-0p350_y-0p200_pretrained,0010_mallet_hammer_llm_lie_x-0p350_y-0p200,mallet_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.010273972602739725,0.18098042566542127,52.300070975654975,0.1419795700423882,36.3853777674135,0.27227027756055283,102.29962772122501,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0010_mallet_hammer_llm_lie_x-0p350_y-0p200_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0010_mallet_hammer_llm_lie_x-0p350_y-0p200_pretrained/trace.json,mallet_hammer,0,True,execution/replay/trials/0010_mallet_hammer_llm_lie_x-0p350_y-0p200_pretrained.json
0011_mallet_hammer_llm_lie_x+0p350_y-0p200_pretrained,0011_mallet_hammer_llm_lie_x+0p350_y-0p200,mallet_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,66.66666666666667,67,0.012779552715654952,0.12934881629166448,117.99485113756012,0.11171642703426662,102.16812676255995,0.1304727546766335,88.36926263940103,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0011_mallet_hammer_llm_lie_x+0p350_y-0p200_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0011_mallet_hammer_llm_lie_x+0p350_y-0p200_pretrained/trace.json,mallet_hammer,0,True,execution/replay/trials/0011_mallet_hammer_llm_lie_x+0p350_y-0p200_pretrained.json
0012_mallet_hammer_llm_lie_x-0p350_y+0p200_pretrained,0012_mallet_hammer_llm_lie_x-0p350_y+0p200,mallet_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,78.94736842105263,79,0.05194805194805195,0.1617447076824251,74.62116800507255,0.12498691027084341,55.01614542956862,0.21988294986205834,133.42000849679533,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0012_mallet_hammer_llm_lie_x-0p350_y+0p200_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0012_mallet_hammer_llm_lie_x-0p350_y+0p200_pretrained/trace.json,mallet_hammer,0,True,execution/replay/trials/0012_mallet_hammer_llm_lie_x-0p350_y+0p200_pretrained.json
0013_mallet_hammer_llm_lie_x+0p350_y+0p200_pretrained,0013_mallet_hammer_llm_lie_x+0p350_y+0p200,mallet_hammer,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,False,0.0,0,0.0,0.20619095249262334,130.84491065785843,0.17474380241443205,126.99991923564902,0.03148464155125097,147.14460306968954,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0013_mallet_hammer_llm_lie_x+0p350_y+0p200_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0013_mallet_hammer_llm_lie_x+0p350_y+0p200_pretrained/trace.json,mallet_hammer,0,True,execution/replay/trials/0013_mallet_hammer_llm_lie_x+0p350_y+0p200_pretrained.json
0014_mallet_hammer_llm_only_x-0p350_y-0p200_pretrained,0014_mallet_hammer_llm_only_x-0p350_y-0p200,mallet_hammer,swing_down,llm_only,pretrained,llm_only + pretrained,0,False,0.0,0,0.0,0.22781962936074363,65.58487087734431,0.18652504616320809,43.58920866908147,0.1686604209572123,0.0,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0014_mallet_hammer_llm_only_x-0p350_y-0p200_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0014_mallet_hammer_llm_only_x-0p350_y-0p200_pretrained/trace.json,mallet_hammer,0,True,execution/replay/trials/0014_mallet_hammer_llm_only_x-0p350_y-0p200_pretrained.json
0015_mallet_hammer_llm_only_x+0p350_y-0p200_pretrained,0015_mallet_hammer_llm_only_x+0p350_y-0p200,mallet_hammer,swing_down,llm_only,pretrained,llm_only + pretrained,0,True,100.0,100,0.0,0.08439885768346322,27.09678628249319,0.07893095399036816,21.50665256010854,0.11392258133388913,0.0,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0015_mallet_hammer_llm_only_x+0p350_y-0p200_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0015_mallet_hammer_llm_only_x+0p350_y-0p200_pretrained/trace.json,mallet_hammer,0,True,execution/replay/trials/0015_mallet_hammer_llm_only_x+0p350_y-0p200_pretrained.json
0016_mallet_hammer_llm_only_x-0p350_y+0p200_pretrained,0016_mallet_hammer_llm_only_x-0p350_y+0p200,mallet_hammer,swing_down,llm_only,pretrained,llm_only + pretrained,0,False,0.0,0,0.0,0.26871752209193955,82.9136780031859,0.26343900655912594,72.74862176211319,0.24574660337389181,0.0,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0016_mallet_hammer_llm_only_x-0p350_y+0p200_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0016_mallet_hammer_llm_only_x-0p350_y+0p200_pretrained/trace.json,mallet_hammer,0,True,execution/replay/trials/0016_mallet_hammer_llm_only_x-0p350_y+0p200_pretrained.json
0017_mallet_hammer_llm_only_x+0p350_y+0p200_pretrained,0017_mallet_hammer_llm_only_x+0p350_y+0p200,mallet_hammer,swing_down,llm_only,pretrained,llm_only + pretrained,0,True,100.0,100,0.0,0.08508354926577394,19.485005485754613,0.0790174648976835,14.562552541643562,0.11167080028024369,0.0,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0017_mallet_hammer_llm_only_x+0p350_y+0p200_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0017_mallet_hammer_llm_only_x+0p350_y+0p200_pretrained/trace.json,mallet_hammer,0,True,execution/replay/trials/0017_mallet_hammer_llm_only_x+0p350_y+0p200_pretrained.json
0018_cuboid_hammer_v014_predefined_pretrained,0018_cuboid_hammer_v014_predefined,cuboid_hammer_v014,swing_down,predefined,pretrained,predefined + pretrained,0,True,100.0,100,0.0012285012285012285,0.06045998616280605,39.60019618971623,0.05496852475612935,31.035481775158573,0.07908689457855388,4.4321367066224315,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0018_cuboid_hammer_v014_predefined_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0018_cuboid_hammer_v014_predefined_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0018_cuboid_hammer_v014_predefined_pretrained.json
0019_cuboid_hammer_v014_llm_lie_x-0p350_y-0p200_pretrained,0019_cuboid_hammer_v014_llm_lie_x-0p350_y-0p200,cuboid_hammer_v014,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.032407407407407406,0.17555554720150143,61.5566385625547,0.13308590323366842,42.03135937005128,0.28054637841263247,101.1060632550749,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0019_cuboid_hammer_v014_llm_lie_x-0p350_y-0p200_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0019_cuboid_hammer_v014_llm_lie_x-0p350_y-0p200_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0019_cuboid_hammer_v014_llm_lie_x-0p350_y-0p200_pretrained.json
0020_cuboid_hammer_v014_llm_lie_x+0p350_y-0p200_pretrained,0020_cuboid_hammer_v014_llm_lie_x+0p350_y-0p200,cuboid_hammer_v014,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.040123456790123455,0.12131469043703891,53.77097206543077,0.09851432004609802,40.906318536459835,0.16830980400625034,89.42111719012628,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0020_cuboid_hammer_v014_llm_lie_x+0p350_y-0p200_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0020_cuboid_hammer_v014_llm_lie_x+0p350_y-0p200_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0020_cuboid_hammer_v014_llm_lie_x+0p350_y-0p200_pretrained.json
0021_cuboid_hammer_v014_llm_lie_x-0p350_y+0p200_pretrained,0021_cuboid_hammer_v014_llm_lie_x-0p350_y+0p200,cuboid_hammer_v014,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.03317535545023697,0.17447023878570053,89.24751494279163,0.14868486242389392,68.99054508639486,0.20396770124828578,132.04986078049905,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0021_cuboid_hammer_v014_llm_lie_x-0p350_y+0p200_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0021_cuboid_hammer_v014_llm_lie_x-0p350_y+0p200_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0021_cuboid_hammer_v014_llm_lie_x-0p350_y+0p200_pretrained.json
0022_cuboid_hammer_v014_llm_lie_x+0p350_y+0p200_pretrained,0022_cuboid_hammer_v014_llm_lie_x+0p350_y+0p200,cuboid_hammer_v014,swing_down,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.008413461538461538,0.04298208744052279,72.33872798145411,0.03697874243895771,57.59807788277796,0.042384671017339726,138.3254952330112,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0022_cuboid_hammer_v014_llm_lie_x+0p350_y+0p200_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0022_cuboid_hammer_v014_llm_lie_x+0p350_y+0p200_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0022_cuboid_hammer_v014_llm_lie_x+0p350_y+0p200_pretrained.json
0023_cuboid_hammer_v014_llm_only_x-0p350_y-0p200_pretrained,0023_cuboid_hammer_v014_llm_only_x-0p350_y-0p200,cuboid_hammer_v014,swing_down,llm_only,pretrained,llm_only + pretrained,0,True,50.0,50,0.0,0.13155435887603287,49.315538177576386,0.11643050137575633,33.818371137077754,0.20196995470053428,0.0,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0023_cuboid_hammer_v014_llm_only_x-0p350_y-0p200_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0023_cuboid_hammer_v014_llm_only_x-0p350_y-0p200_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0023_cuboid_hammer_v014_llm_only_x-0p350_y-0p200_pretrained.json
0024_cuboid_hammer_v014_llm_only_x+0p350_y-0p200_pretrained,0024_cuboid_hammer_v014_llm_only_x+0p350_y-0p200,cuboid_hammer_v014,swing_down,llm_only,pretrained,llm_only + pretrained,0,False,0.0,0,0.0,0.0797103782815299,86.43170514118157,0.05044679521796147,84.95465464795696,0.1616935150112089,0.0,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0024_cuboid_hammer_v014_llm_only_x+0p350_y-0p200_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0024_cuboid_hammer_v014_llm_only_x+0p350_y-0p200_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0024_cuboid_hammer_v014_llm_only_x+0p350_y-0p200_pretrained.json
0025_cuboid_hammer_v014_llm_only_x-0p350_y+0p200_pretrained,0025_cuboid_hammer_v014_llm_only_x-0p350_y+0p200,cuboid_hammer_v014,swing_down,llm_only,pretrained,llm_only + pretrained,0,False,0.0,0,0.0,0.24072466836825157,29.572963090053488,0.2002185795493154,22.846486024959926,0.230548299994089,0.0,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0025_cuboid_hammer_v014_llm_only_x-0p350_y+0p200_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0025_cuboid_hammer_v014_llm_only_x-0p350_y+0p200_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0025_cuboid_hammer_v014_llm_only_x-0p350_y+0p200_pretrained.json
0026_cuboid_hammer_v014_llm_only_x+0p350_y+0p200_pretrained,0026_cuboid_hammer_v014_llm_only_x+0p350_y+0p200,cuboid_hammer_v014,swing_down,llm_only,pretrained,llm_only + pretrained,0,False,33.333333333333336,33,0.0,0.1217576867740561,51.61904674338766,0.10268143279198555,32.938337134022476,0.12041593489815411,0.0,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0026_cuboid_hammer_v014_llm_only_x+0p350_y+0p200_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0026_cuboid_hammer_v014_llm_only_x+0p350_y+0p200_pretrained/trace.json,claw_hammer,0,True,execution/replay/trials/0026_cuboid_hammer_v014_llm_only_x+0p350_y+0p200_pretrained.json
0027_long_screwdriver_predefined_pretrained,0027_long_screwdriver_predefined,long_screwdriver,spin_vertical,predefined,pretrained,predefined + pretrained,0,True,58.0,58,0.0006551648831622625,0.09610866209921871,86.13352744788097,0.08538690470914122,77.94159399857787,0.07654508696693327,16.051159680765558,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0027_long_screwdriver_predefined_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0027_long_screwdriver_predefined_pretrained/trace.json,long_screwdriver,0,True,execution/replay/trials/0027_long_screwdriver_predefined_pretrained.json
0028_long_screwdriver_llm_lie_x-0p350_y-0p200_pretrained,0028_long_screwdriver_llm_lie_x-0p350_y-0p200,long_screwdriver,spin_vertical,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.0,0.1612435872408544,95.89464349678563,0.12615684978485656,72.11647942730512,0.33601601916907714,169.8866200027528,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0028_long_screwdriver_llm_lie_x-0p350_y-0p200_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0028_long_screwdriver_llm_lie_x-0p350_y-0p200_pretrained/trace.json,long_screwdriver,0,True,execution/replay/trials/0028_long_screwdriver_llm_lie_x-0p350_y-0p200_pretrained.json
0029_long_screwdriver_llm_lie_x+0p350_y-0p200_pretrained,0029_long_screwdriver_llm_lie_x+0p350_y-0p200,long_screwdriver,spin_vertical,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.0,0.16644229575696537,92.30245804699322,0.12098835537597483,66.4533139829,0.42079362105441304,169.8866200027528,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0029_long_screwdriver_llm_lie_x+0p350_y-0p200_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0029_long_screwdriver_llm_lie_x+0p350_y-0p200_pretrained/trace.json,long_screwdriver,0,True,execution/replay/trials/0029_long_screwdriver_llm_lie_x+0p350_y-0p200_pretrained.json
0030_long_screwdriver_llm_lie_x-0p350_y+0p200_pretrained,0030_long_screwdriver_llm_lie_x-0p350_y+0p200,long_screwdriver,spin_vertical,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.0,0.1228236887238874,69.8761790163812,0.08837229975196251,55.04178268142665,0.2870073906036929,169.8866200027528,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0030_long_screwdriver_llm_lie_x-0p350_y+0p200_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0030_long_screwdriver_llm_lie_x-0p350_y+0p200_pretrained/trace.json,long_screwdriver,0,True,execution/replay/trials/0030_long_screwdriver_llm_lie_x-0p350_y+0p200_pretrained.json
0031_long_screwdriver_llm_lie_x+0p350_y+0p200_pretrained,0031_long_screwdriver_llm_lie_x+0p350_y+0p200,long_screwdriver,spin_vertical,llm_lie,pretrained,llm_lie + pretrained,0,True,100.0,100,0.004418262150220913,0.14424603290607543,74.50015220688456,0.09458838229530188,57.21703319630982,0.38279726833271954,169.8866200027528,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0031_long_screwdriver_llm_lie_x+0p350_y+0p200_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0031_long_screwdriver_llm_lie_x+0p350_y+0p200_pretrained/trace.json,long_screwdriver,0,True,execution/replay/trials/0031_long_screwdriver_llm_lie_x+0p350_y+0p200_pretrained.json
0032_long_screwdriver_llm_only_x-0p350_y-0p200_pretrained,0032_long_screwdriver_llm_only_x-0p350_y-0p200,long_screwdriver,spin_vertical,llm_only,pretrained,llm_only + pretrained,0,True,100.0,100,0.0,0.08080174491894329,20.196442678930225,0.07559951808221518,16.40675327349187,0.0499629720656443,0.0,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0032_long_screwdriver_llm_only_x-0p350_y-0p200_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0032_long_screwdriver_llm_only_x-0p350_y-0p200_pretrained/trace.json,long_screwdriver,0,True,execution/replay/trials/0032_long_screwdriver_llm_only_x-0p350_y-0p200_pretrained.json
0033_long_screwdriver_llm_only_x+0p350_y-0p200_pretrained,0033_long_screwdriver_llm_only_x+0p350_y-0p200,long_screwdriver,spin_vertical,llm_only,pretrained,llm_only + pretrained,0,True,100.0,100,0.0,0.10576210342126674,49.295583853163784,0.09784780769716989,39.12370848971919,0.1397091655668528,0.0,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0033_long_screwdriver_llm_only_x+0p350_y-0p200_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0033_long_screwdriver_llm_only_x+0p350_y-0p200_pretrained/trace.json,long_screwdriver,0,True,execution/replay/trials/0033_long_screwdriver_llm_only_x+0p350_y-0p200_pretrained.json
0034_long_screwdriver_llm_only_x-0p350_y+0p200_pretrained,0034_long_screwdriver_llm_only_x-0p350_y+0p200,long_screwdriver,spin_vertical,llm_only,pretrained,llm_only + pretrained,0,True,100.0,100,0.0,0.09321046357809734,22.671819769618942,0.0868076762344808,17.75283913519736,0.11613191852946458,0.0,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0034_long_screwdriver_llm_only_x-0p350_y+0p200_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0034_long_screwdriver_llm_only_x-0p350_y+0p200_pretrained/trace.json,long_screwdriver,0,True,execution/replay/trials/0034_long_screwdriver_llm_only_x-0p350_y+0p200_pretrained.json
0035_long_screwdriver_llm_only_x+0p350_y+0p200_pretrained,0035_long_screwdriver_llm_only_x+0p350_y+0p200,long_screwdriver,spin_vertical,llm_only,pretrained,llm_only + pretrained,0,True,100.0,100,0.0,0.16666163312982635,35.24601363527576,0.15079755823652705,28.11880483489453,0.23061860034249404,0.0,,,,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0035_long_screwdriver_llm_only_x+0p350_y+0p200_pretrained,experiments/results/thesis_main_6obj_v2_2026-04-14_fullrerun/execution/artifacts/0035_long_screwdriver_llm_only_x+0p350_y+0p200_pretrained/trace.json,long_screwdriver,0,True,execution/replay/trials/0035_long_screwdriver_llm_only_x+0p350_y+0p200_pretrained.json
